Date,HomeTeam,AwayTeam,FTHG,FTAG
2020-09-19,Man United,Crystal Palace,1,3
2020-09-26,Brighton,Man United,2,3
2020-10-04,Man United,Tottenham,1,6
2020-10-17,Newcastle,Man United,1,4
2020-10-24,Man United,Chelsea,0,0
2020-11-01,Man United,Arsenal,0,1
2020-11-07,Everton,Man United,1,3
2020-11-21,Man United,West Brom,1,0
2020-11-29,Southampton,Man United,2,3
2020-12-05,West Ham,Man United,1,3
2020-12-12,Man United,Man City,0,0
2020-12-17,Sheffield United,Man United,2,3
2020-12-20,Man United,Leeds,6,2
2020-12-26,Leicester,Man United,2,2
2020-12-29,Man United,Wolves,1,0
2021-01-01,Man United,Aston Villa,2,1
2021-01-12,Burnley,Man United,0,1
2021-01-17,Liverpool,Man United,0,0
2021-01-20,Fulham,Man United,1,2
2021-01-27,Man United,Sheffield United,1,2
2021-01-30,Arsenal,Man United,0,0
2021-02-02,Man United,Southampton,9,0
2021-02-06,Man United,Everton,3,3
2021-02-14,West Brom,Man United,1,1
2021-02-21,Man United,Newcastle,3,1
2021-02-28,Chelsea,Man United,0,0
2021-03-03,Crystal Palace,Man United,0,0
2021-03-07,Man City,Man United,0,2
2021-03-14,Man United,West Ham,1,0
2021-04-04,Man United,Brighton,2,1
2021-04-11,Tottenham,Man United,1,3
2021-04-18,Man United,Burnley,3,1
2021-04-25,Leeds,Man United,0,0
2021-05-09,Aston Villa,Man United,1,3
2021-05-11,Man United,Leicester,1,2
2021-05-13,Man United,Liverpool,2,4
2021-05-18,Man United,Fulham,1,1
2021-05-23,Wolves,Man United,1,2
2021-08-14,Man United,Leeds,5,1
2021-08-22,Southampton,Man United,1,1
2021-08-29,Wolves,Man United,0,1
2021-09-11,Man United,Newcastle,4,1
2021-09-19,West Ham,Man United,1,2
2021-09-25,Man United,Aston Villa,0,1
2021-10-02,Man United,Everton,1,1
2021-10-16,Leicester,Man United,4,2
2021-10-24,Man United,Liverpool,0,5
2021-10-30,Tottenham,Man United,0,3
2021-11-06,Man United,Man City,0,2
2021-11-20,Watford,Man United,4,1
2021-11-28,Chelsea,Man United,1,1
2021-12-02,Man United,Arsenal,3,2
2021-12-05,Man United,Crystal Palace,1,0
2021-12-11,Norwich,Man United,0,1
2021-12-27,Newcastle,Man United,1,1
2021-12-30,Man United,Burnley,3,1
2022-01-03,Man United,Wolves,0,1
2022-01-15,Aston Villa,Man United,2,2
2022-01-19,Brentford,Man United,1,3
2022-01-22,Man United,West Ham,1,0
2022-02-08,Burnley,Man United,1,1
2022-02-12,Man United,Southampton,1,1
2022-02-15,Man United,Brighton,2,0
2022-02-20,Leeds,Man United,2,4
2022-02-26,Man United,Watford,0,0
2022-03-06,Man City,Man United,4,1
2022-03-12,Man United,Tottenham,3,2
2022-04-02,Man United,Leicester,1,1
2022-04-09,Everton,Man United,1,0
2022-04-16,Man United,Norwich,3,2
2022-04-19,Liverpool,Man United,4,0
2022-04-23,Arsenal,Man United,3,1
2022-04-28,Man United,Chelsea,1,1
2022-05-02,Man United,Brentford,3,0
2022-05-07,Brighton,Man United,4,0
2022-05-22,Crystal Palace,Man United,1,0
2022-08-06,Newcastle,Nott'm Forest,2,0
2022-08-07,Man United,Brighton,1,2
2022-08-13,Brentford,Man United,4,0
2022-08-14,Nott'm Forest,West Ham,1,0
2022-08-20,Everton,Nott'm Forest,1,1
2022-08-22,Man United,Liverpool,2,1
2022-08-27,Southampton,Man United,0,1
2022-08-28,Nott'm Forest,Tottenham,0,2
2022-08-31,Man City,Nott'm Forest,6,0
2022-09-01,Leicester,Man United,0,1
2022-09-03,Nott'm Forest,Bournemouth,2,3
2022-09-04,Man United,Arsenal,3,1
2022-09-16,Nott'm Forest,Fulham,2,3
2022-10-02,Man City,Man United,6,3
2022-10-03,Leicester,Nott'm Forest,4,0
2022-10-09,Everton,Man United,1,2
2022-10-10,Nott'm Forest,Aston Villa,1,1
2022-10-15,Wolves,Nott'm Forest,1,0
2022-10-16,Man United,Newcastle,0,0
2022-10-18,Brighton,Nott'm Forest,0,0
2022-10-19,Man United,Tottenham,2,0
2022-10-22,Chelsea,Man United,1,1
2022-10-22,Nott'm Forest,Liverpool,1,0
2022-10-30,Man United,West Ham,1,0
2022-10-30,Arsenal,Nott'm Forest,5,0
2022-11-05,Nott'm Forest,Brentford,2,2
2022-11-06,Aston Villa,Man United,3,1
2022-11-12,Nott'm Forest,Crystal Palace,1,0
2022-11-13,Fulham,Man United,1,2
2022-12-27,Man United,Nott'm Forest,3,0
2022-12-31,Wolves,Man United,0,1
2023-01-01,Nott'm Forest,Chelsea,1,1
2023-01-03,Man United,Bournemouth,3,0
2023-01-04,Southampton,Nott'm Forest,0,1
2023-01-14,Man United,Man City,2,1
2023-01-14,Nott'm Forest,Leicester,2,0
2023-01-18,Crystal Palace,Man United,1,1
2023-01-21,Bournemouth,Nott'm Forest,1,1
2023-01-22,Arsenal,Man United,3,2
2023-02-04,Man United,Crystal Palace,2,1
2023-02-05,Nott'm Forest,Leeds,1,0
2023-02-08,Man United,Leeds,2,2
2023-02-11,Fulham,Nott'm Forest,2,0
2023-02-12,Leeds,Man United,0,2
2023-02-18,Nott'm Forest,Man City,1,1
2023-02-19,Man United,Leicester,3,0
2023-02-25,West Ham,Nott'm Forest,4,0
2023-03-05,Nott'm Forest,Everton,2,2
2023-03-05,Liverpool,Man United,7,0
2023-03-11,Tottenham,Nott'm Forest,3,1
2023-03-12,Man United,Southampton,0,0
2023-03-17,Nott'm Forest,Newcastle,1,2
2023-04-01,Nott'm Forest,Wolves,1,1
2023-04-02,Newcastle,Man United,2,0
2023-04-04,Leeds,Nott'm Forest,2,1
2023-04-05,Man United,Brentford,1,0
2023-04-08,Man United,Everton,2,0
2023-04-08,Aston Villa,Nott'm Forest,2,0
